Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Tony Martin,Team Jumbo-Visma,3688,9084,1064,962,390,34,2020-02-06
Martijn Budding,Riwal Readynez Cycling Team,93,0,355,22,242,24,2020-02-06
Fabio Aru,UAE-Team Emirates,3165,580,273,3978,866,29,2020-02-06
Dion Smith,Mitchelton-Scott,614,70,916,403,539,26,2020-02-06
Romain Hardy,Team Arkéa Samsic,661,15,1233,506,1008,31,2020-02-06
Maurits Lammertink,Circus - Wanty Gobert,688,91,741,338,638,29,2020-02-06
Savva Novikov,Lokosphinx,180,1,87,48,18,20,2020-02-06
Robinson Chalapud,Team Medellin,423,89,254,268,133,35,2020-02-06
Chad Haga,Team Sunweb,368,969,67,125,71,31,2020-02-06
Manuel Belletti,Androni Giocattoli - Sidermec,183,64,4540,276,2001,34,2020-02-06
Phil Bauhaus,Bahrain - McLaren,47,1,1666,64,547,25,2020-02-06
Sepp Kuss,Team Jumbo-Visma,427,24,67,578,76,25,2020-02-06
Marco Benfatto,Bardiani-CSF-Faizanè,119,11,2569,14,139,32,2020-02-06
Nick Schultz,Mitchelton-Scott,291,34,141,147,103,25,2020-02-06
Xianjing Lyu,Hengxiang Cycling Team,256,26,64,0,55,22,2020-02-06
Jay McCarthy,BORA - hansgrohe,757,79,702,528,664,27,2020-02-06
Szymon Sajnok,CCC Team,81,146,466,73,162,22,2020-02-06
Jan Tratnik,Bahrain - McLaren,526,852,954,183,328,29,2020-02-06
Brandon McNulty,UAE-Team Emirates,409,182,25,206,49,21,2020-02-06
Hernán Ricardo Aguirre,Colombia Tierra de Atletas - GW Bicicletas,404,7,30,311,5,24,2020-02-06
Alexander Kamp,Trek - Segafredo,443,39,824,108,239,26,2020-02-06
Jonas Koch,CCC Team,199,36,514,120,338,26,2020-02-06
Keegan Swirbul,Ljubljana Gusto Santic,246,81,41,181,0,24,2020-02-06
Jannik Steimle,Deceuninck - Quick Step,75,140,532,29,152,23,2020-02-06
Mikkel Bjerg,UAE-Team Emirates,79,583,86,4,15,21,2020-02-06
Alberto Dainese,Team Sunweb,15,0,541,4,223,21,2020-02-06
Robert Gesink,Team Jumbo-Visma,4919,1158,808,4803,2820,33,2020-02-06
Clément Russo,Team Arkéa Samsic,131,22,189,13,115,25,2020-02-06
Sergio Henao,UAE-Team Emirates,3276,522,716,2885,1604,32,2020-02-06
Benjamin Declercq,Team Arkéa Samsic,137,90,394,86,278,26,2020-02-06
Marco Canola,Gazprom - RusVelo,359,159,1822,464,1161,31,2020-02-06
Marcos García,Kinan Cycling Team,778,34,308,494,289,33,2020-02-06
Davide Gabburo,Androni Giocattoli - Sidermec,54,5,132,138,186,26,2020-02-06
Jimmy Janssens,Alpecin-Fenix,208,117,429,59,324,30,2020-02-06
Alex Dowsett,Israel Start-Up Nation,600,2915,204,10,92,31,2020-02-06
Kévin Le Cunff ,,37,0,368,64,428,31,2020-02-06
Ben Swift,Team INEOS,735,84,3358,532,1513,32,2020-02-06
Andrey Amador ,,1328,1130,563,938,618,33,2020-02-06
